ID,Type,Instance of,Relations,Data facts
http://n2t.net/ark:/21547/Q2MBIO215.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO215,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO215.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO215,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO215.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO215,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO216.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO216,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO216.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO216,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO216.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO216,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO74.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO74,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO74.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO74,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO219.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO219,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO219.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO219,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO74.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO74,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO219.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO219,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO220.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO220,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO75.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO75,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO220.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO220,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO75.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO75,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO220.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO220,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO75.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO75,"dwc:preservative ""95% ethanol"""
